cave,state,lat,long
El Salitre,Hidalgo,20 07 00,-98 44 00
Jame River Cave,Texas,30 44 57,-99 13 56
Cueva La Boca,Nuevo Leon,25 41 00,-100 15 00
Isla de Janitzio,Michoacán,19 42 00,-101 07 00
Carlsbad Caverns,New Mexico,32 10 32,-104 22 34
Grand Junction,Colorado,39 04 00,-108 33 00
Ejido Juan Aldama,Sinaloa,25 45 00,-108 57 00
Eagle Creek Cave,Arizona,33 03 11,-109 19 46
Merced,California,37 28 11,-120 29 56
Lava Beds NM,California,41 53 18,-121 22 16
Jackson Co,Oregon,42 11 25,-122 41 58
